frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections,good_flags,peak_labels,peak_features
5.000000000000000000e+00,8.760890770881516687e+01,3.561108876378850141e+01,-6.416807849049465350e-03,2.058745124911130517e+02,2.338879568918172946e-02,nan,9.730682941905596507e-06,1.556707935740125848e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,7.148638982005672915e+01,4.954549649193664607e+01,-4.719178056181424184e-03,1.512327384867707281e+02,2.171471749391381545e-01,nan,6.566588995584109287e-05,8.425583920782742098e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.411629401310575282e+01,3.240549447839352837e+01,-7.448719140358189827e-03,2.390887408282351316e+02,3.669807263543389819e-02,nan,2.214354856621135762e-05,1.136851955721409269e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,7.784033845629247139e+01,9.701772468970276009e+00,-5.365252107391161110e-03,1.720279863344364344e+02,7.079292479900378687e-02,nan,2.228029657817410511e-05,1.627433892155941564e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,4.118454971917466878e+01,5.093616414857015684e+01,-1.180890597545339836e-02,3.794304953502709168e+02,4.926539670264873383e-02,nan,6.881552224661883208e-05,1.554447067571946128e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,4.957555794058375653e+01,3.306244449524492524e+01,-1.979217864026593110e-02,6.363888631866194601e+02,8.672134599810310540e-03,nan,3.456897831391207081e-05,1.322720298569565855e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.029322395666387564e+02,3.864297967475565798e+01,-6.927968373707680746e-03,2.223272856373288846e+02,4.149316369478917021e-02,nan,2.290365857637952101e-05,1.562039889762731271e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,9.407108897948639026e+01,1.089208536381094738e+01,-1.624140968737326296e-03,5.161248100915934600e+01,3.395252548046350238e-01,nan,1.720373317233797692e-05,1.262247571156865966e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.396319828043303346e+02,3.774399906461044907e+01,-7.023266038922055046e-03,2.253946407860553904e+02,4.556518822460675633e-02,nan,2.253711772997457749e-05,2.211932965312458066e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,5.680786442557043792e+00,2.478411343884598850e+01,-7.148365543656910563e-03,2.294212306200077762e+02,4.778100785788286231e-02,nan,2.446293167957297571e-05,7.929493022413571346e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,5.672134546109088404e+01,5.044775175900947772e+01,-6.799904540740133070e-03,2.182052826844232811e+02,3.713453960913093432e-02,nan,1.859303567924703213e-05,7.442363576693428406e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.231785783902826097e+02,5.252744343631866286e+01,-6.019771994556564858e-03,1.930950811192294907e+02,1.009102581316623226e-01,nan,3.837832431675536739e-05,4.414295410641528861e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,8.675168115637801236e+01,5.201112667735228712e+01,-4.825885933085818057e-03,1.546673552205183171e+02,6.882175643851018432e-02,nan,1.668512772132761435e-05,3.870670191572569863e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,9.697412525906099745e+01,2.317619190228635873e+01,-1.758872122088646133e-03,5.594908564681102803e+01,3.352016163600806120e-01,nan,1.816115440656876638e-05,1.262247571156865966e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,2.266441366343395813e+01,1.095254920948240773e+01,-6.592739547992846651e-03,2.115372430665604213e+02,4.368005660193907680e-02,nan,1.935182647987362551e-05,1.175797428002147704e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,3.716384415468095881e+01,1.996630401550849854e+01,-7.149525593267239479e-03,2.294585692487875690e+02,1.277894913627649620e-01,nan,7.529144253937413182e-05,6.367663955881127436e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.339338087806836768e+02,1.387224252728257312e+01,-1.319310755158202737e-02,4.239839250892093787e+02,1.449124089890607703e-02,nan,2.388615406201525222e-05,2.454241119737866583e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,3.386896849754959504e+01,1.451736479222192777e+01,-8.063323723723024930e-03,2.588710778768314071e+02,1.388294507740293060e-01,nan,5.446377120065699510e-05,6.367663955881127436e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,5.839718850411170337e+01,4.291829215160740318e+01,-1.540187409828683946e-03,4.891025970506913012e+01,3.641891379302849563e-01,nan,1.728229560712511392e-05,7.713702864664977454e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.323849754534487744e+01,2.238455879697949769e+01,-6.964259318148523573e-03,2.234953857689780250e+02,4.105615135324569565e-02,nan,2.129941995080103260e-05,7.929493022413571346e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.240167112356245411e+02,4.819344559299087649e+01,-6.913735805788544242e-03,2.218691805999372946e+02,3.892283171846677714e-02,nan,1.887055392626461580e-05,4.414295410641528861e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.336197897683502447e+02,4.249434256610926752e+01,-6.871651769271828851e-03,2.205146176544720618e+02,4.364431968643356363e-02,nan,2.072372567166115659e-05,1.116686583678287015e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
