frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections,good_flags,peak_labels,peak_features
5.000000000000000000e+00,1.062515130214659393e+02,2.366861834643500018e+01,-6.718447117583382922e-03,2.155834047427151745e+02,3.303793327045634332e-02,nan,1.514211701783432453e-05,1.091004826555072427e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.708175764771564786e+01,4.509734678456158008e+01,-7.547748743424386245e-03,2.422762162208182417e+02,3.010542907260949086e-02,nan,1.729092700217802115e-05,2.330825639316242714e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.777416023498281916e+01,4.577870747326103640e+01,-6.454358926764147512e-03,2.070831726540798456e+02,8.713538972160073115e-02,nan,3.844173148257706531e-05,5.198074349239115932e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.405892681802381361e+01,2.472867657828927079e+01,-6.447546910004236208e-03,2.068639136131083376e+02,6.982038724581562938e-02,nan,3.586177493892959642e-05,7.014702108603715125e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,6.528055243691180287e+00,2.762224624169450493e+01,-6.869170226172626598e-03,2.204347439872106236e+02,5.692889856421434747e-02,nan,3.093675115971589992e-05,8.067637328615507641e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.029721637168258042e+02,1.326308994587779289e+01,-1.516836489745638367e-02,4.875617239397702747e+02,8.399579230425335830e-03,nan,1.905417422209945556e-05,6.903107898614631033e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,4.736471660992597776e+01,3.715275517425467910e+01,-1.535538568584908503e-02,4.935813801076814684e+02,7.434832701294646906e-02,nan,1.814843682030322042e-04,1.278328781661459246e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,2.040383497766411836e+01,2.173732469023275371e+01,-7.641757121758715847e-03,2.453020729682901617e+02,5.248145681205229618e-02,nan,3.403486362129027151e-05,7.014702108603715125e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.153359366912528117e+01,4.218891121240312003e+01,-8.777401120965607970e-03,2.818551559871825134e+02,1.171955019052399738e-01,nan,1.008933800423376855e-04,5.198074349239115932e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,7.962420780325256686e+00,3.589974444181452640e+01,-7.183087203389827008e-03,2.305388200332899373e+02,2.712803616264377604e-01,nan,2.143347164885736286e-04,4.624475086586321559e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,9.240588410863487923e+00,4.458747189387897691e+01,-9.100115252443793934e-03,2.922423868865929535e+02,4.801944092354926141e-02,nan,4.758411973587130717e-05,7.690070369765548364e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.229070582500065179e+01,3.752815421779134653e+01,-7.414117760780569201e-03,2.379750228839213548e+02,3.405187273470609011e-01,nan,3.136756627580434545e-04,4.624475086586321559e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,3.713824594222013786e+01,5.020307144126286403e+01,-1.447779474988000487e-03,4.593591658680771417e+01,3.332533829537489556e-01,nan,1.256677434711041574e-05,1.203507287822901439e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,2.664770734111879946e+01,4.430463274588877454e+01,-7.344391267313785283e-03,2.357307295084554823e+02,1.357319092485013146e-01,nan,8.484890003406122096e-05,5.534477053645259659e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.247309758985816046e+02,1.541748469993754789e+01,-1.780779127684007377e-03,5.665420855045144322e+01,3.017868260109033418e-01,nan,1.617260964399614749e-05,1.037684828288852934e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.145250192830599332e+02,1.354200346884616302e+01,-7.734732610389849147e-03,2.482946839951871141e+02,2.813057634867810464e-02,nan,1.621416518144844584e-05,1.037684828288852934e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,6.625432474054568388e+01,3.960868631760735070e+01,-2.107523765684800321e-03,6.717116975234392839e+01,1.875749246817778326e-01,nan,1.074515507966748594e-05,1.015214867015957623e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,8.197814915406497960e+01,1.037266540409060767e+01,-9.403150917256629035e-03,3.019962250800097650e+02,4.947977084602284137e-02,nan,4.484791297975801683e-05,1.807825108037003403e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,4.687841142851538478e+01,9.971451722139356377e+00,-6.784534695812259424e-03,2.177105720021774289e+02,4.513624334763943757e-02,nan,2.134758811370517350e-05,7.264002131599723633e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,1.229506756283512914e+02,4.759471873698525712e+01,-8.979676758061435476e-03,2.883658214427537700e+02,3.968354374358029624e-02,nan,3.150221455432088125e-05,1.415616274078737291e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,6.974394691635839649e+01,4.914224072774730701e+01,-1.522505936192196201e-03,4.834114440645243604e+01,3.066857739089224877e-01,nan,1.202949940961499045e-05,1.015214867015957623e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,1.309466588040510260e+02,3.019722569824724090e+01,-8.142232330115137598e-03,2.614109168073152318e+02,1.072156077899800719e-01,nan,7.794466813900179135e-05,5.305581748441722922e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,6.568925862775317626e+01,1.821455341315640197e+01,-1.747940652778535563e-03,5.559723338898198364e+01,3.035596679151254529e-01,nan,1.516396106652496223e-05,1.372672766571293756e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,3.974964033237698402e+01,8.576335373318574540e+00,-7.942399778099937940e-03,2.549788871670494359e+02,3.011838416266687801e-02,nan,1.963712085482135773e-05,7.264002131599723633e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,6.120721285383792321e+01,3.568138825144144732e+01,-7.066398972410114013e-03,2.267829646795805445e+02,3.489237480292350924e-02,nan,1.708614465464463545e-05,1.007588578607899876e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,1.123068093701560599e+02,4.526876513442799954e+00,-8.904706030992580110e-03,2.859527314141458305e+02,2.744310208845857080e-02,nan,2.230059432789983513e-05,1.122622808922840498e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,4.742984540570957819e+01,3.325632263557267265e+01,-6.506944586887748218e-03,2.087757523722341375e+02,3.443699745898916031e-01,nan,2.526694152943672169e-04,5.166929029257324224e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,4.622930388787332134e+01,3.828184307203827785e+01,-8.062889380804117573e-03,2.588570976393762066e+02,2.380755554262904417e-01,nan,2.247552419536964026e-04,5.166929029257324224e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
