frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections,good_flags,peak_labels,peak_features
5.000000000000000000e+00,7.373649135885763428e+01,1.356126493668143773e+01,-4.382815246361875319e-03,1.324525311391181503e+02,5.202514765019261578e-02,nan,1.088409678817781032e-05,1.317579065313519493e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,8.604735104239199472e+01,4.238794603442393338e+01,-6.455104813222709362e-03,1.948989451903010490e+02,3.765822662285822631e-02,nan,1.654984595090673051e-05,1.329570469113857634e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,4.734861527760948263e+01,1.162860033319558006e+01,-6.980964206739203107e-03,2.107452023665985621e+02,2.790605108100918663e-02,nan,1.350904115344894383e-05,1.134547696477529044e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.242013829659216100e+02,3.101670203835927708e+01,-1.841480516997631711e-03,5.587190105230563120e+01,1.847237431447285028e-01,nan,8.002376284718940152e-06,2.336453981619235520e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,7.635580116168485176e+01,3.328576914404602149e+01,-1.444110029639981627e-03,4.389753106942447403e+01,3.489004495312811871e-01,nan,1.338538894958907524e-05,7.655563100793818521e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.438368757283804911e+01,3.711230781516103150e+01,-6.160697057601922065e-03,1.860272561650916714e+02,3.056178192212788414e-02,nan,1.124983186004753571e-05,2.086949311734998247e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.406068168069734554e+02,4.765291138151521011e+01,-2.345406192979869117e-02,7.071458490571359334e+02,5.832354694824681829e-03,nan,3.791250078289673731e-05,2.336453981619235520e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,4.514189274906918570e+01,2.275740185179044772e+01,-1.533065027146010822e-03,4.657810269175725182e+01,3.059349116523736312e-01,nan,1.249625014887729501e-05,1.134547696477529044e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,5.575313039364382206e+01,3.984163009548349521e+01,-1.563485911674368251e-03,4.749480621690153015e+01,2.865843367539432363e-01,nan,1.095723049452301295e-05,1.331723433440808968e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,6.888520245821833043e+01,4.205464017416806399e+01,-8.037966397029465415e-03,2.425969268955507516e+02,1.687250220306701909e-02,nan,1.233073578581095872e-05,8.054968702997983954e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
