frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections,good_flags,peak_labels,peak_features
5.000000000000000000e+00,1.040433098061570973e+02,7.846852336104173098e+00,-7.219607566406102857e-03,2.179364860012014162e+02,2.464231976125319523e-02,nan,1.293974188234036331e-05,2.177536547908806597e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,8.633248830510191851e+01,2.051544908182237492e+01,-7.467882084640908337e-03,2.254179951551245153e+02,2.563694915597103385e-02,nan,1.393424284674108451e-05,2.177536547908806597e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,5.795411077150617984e+01,3.876624505067033510e+01,-6.522885336781983345e-03,1.969414448035187775e+02,3.880757476606189194e-02,nan,1.639991748951217002e-05,2.136270860078933254e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,7.416042393047193571e+01,5.268460460040793691e+01,-7.759647591127499106e-03,2.342100625936121219e+02,3.303395276892395760e-02,nan,1.983037282872195076e-05,2.136270860078933254e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.394223395729158312e+02,4.983102906387551911e+01,-1.503085367177851416e-03,4.567469503607846804e+01,3.186315767065371896e-01,nan,1.354229093710401858e-05,2.910996962319972781e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.169447426470228919e+02,3.133378689373839521e+01,-7.929162865528201209e-03,2.393182391643514677e+02,2.506625276969332017e-02,nan,1.595231057622814236e-05,1.331134967355616716e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.052285199730079768e+02,2.501538864856718192e+01,-7.700322985262807868e-03,2.324223737684149853e+02,2.885315449361514073e-02,nan,1.715404003664041066e-05,1.331134967355616716e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,6.303027564870084376e+01,4.717106166892156693e+01,-1.303807560447108787e-03,3.966965373812396223e+01,3.386504249442617853e-01,nan,1.035589896507019847e-05,8.251451165759471351e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,6.797856340547913767e+00,2.213868091168031427e+01,-7.164758395933269047e-03,2.162836600330144563e+02,4.057300147116060796e-02,nan,2.119843458914012909e-05,1.668028520452304875e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.285353716899345322e+01,3.768090225253850178e+01,-8.841822650902962655e-03,2.668203468604828572e+02,1.961867442409748197e-02,nan,1.667609248026692817e-05,1.668028520452304875e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,3.720642652567783415e+01,4.804292928135836860e+00,-1.540460581633238757e-03,4.680096047429538686e+01,3.174941957926292746e-01,nan,1.319176330111837986e-05,1.111386866091099535e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,2.790311378855875191e+01,2.639198775876099035e+01,-1.439511747922685679e-03,4.375896635885787589e+01,3.642035748815866114e-01,nan,1.433016981019687756e-05,1.240588173557087437e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.043350737978475422e+02,4.042262903552710185e+01,-1.391441430784626926e-03,4.231041448870483634e+01,3.252189827382709897e-01,nan,1.127605505184908110e-05,1.543312354675740039e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,6.612575740360635734e+01,2.040384030538059079e+01,-8.209577171496467221e-03,2.477682493059821240e+02,1.712044006780910621e-02,nan,1.138954669895740108e-05,8.190095040594483677e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.264011578907108628e+02,3.632024760230348193e+01,-1.972712483128851758e-03,5.982644766819915816e+01,2.839961505375188100e-01,nan,1.799108960893783149e-05,1.582647879550478365e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.419188517810536894e+02,5.344064940006878572e+01,-1.665955318369813799e-03,5.058262130819498026e+01,3.495397948346784522e-01,nan,1.846597648800991467e-05,2.310642727449028655e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,3.245589400943441660e+01,1.485170639748671917e+01,-6.957490098998589910e-03,2.100378331480810061e+02,3.154205520507147309e-02,nan,1.484699870283013470e-05,1.111386866091099535e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,1.066858942361418485e+02,1.041253386258139635e+01,-6.908677281824425129e-03,2.085669067674207611e+02,3.888942003462203534e-02,nan,1.875406665897500830e-05,1.673145261474051182e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,6.287337016558185354e+01,2.792046415042603158e+01,-1.352892725206849504e-03,4.114878704621687433e+01,3.519355507869194044e-01,nan,1.162010560636622416e-05,8.190095040594483677e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,8.399356955727390073e+01,1.026435035934798456e+01,-7.488895456090670193e-03,2.260512124984665832e+02,2.665058262464659045e-02,nan,1.564035848488238976e-05,1.542482867261889545e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,5.564937939959141033e+01,8.168190968743319402e+00,-1.418411544832852943e-03,4.312313242918764189e+01,3.646474192876485443e-01,nan,1.473857368587640546e-05,1.391567405189622164e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,4.971539575847055659e+01,2.075524076071315704e+01,-8.990043598385726031e-03,2.712868397703459777e+02,9.472404904865383557e-02,nan,8.288533166360639946e-05,5.518914408550381623e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,8.929152161993256698e+01,4.744360790674092243e+01,-9.346460629015836824e-03,2.820271174928925575e+02,1.674224069072238752e-02,nan,1.537505322804438594e-05,2.215370729048991549e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,8.551773164313463838e+01,2.561369137177163324e+01,-7.557443907017474642e-03,2.281168528498904493e+02,2.014410248134657078e-02,nan,1.122323494497742106e-05,1.542482867261889545e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,4.457361224267681621e+01,1.875012766524528018e+01,-1.153416753765310054e-02,3.479515199625452624e+02,4.992379895470078210e-02,nan,6.671887051415375635e-05,5.518914408550381623e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,2.379939492366544940e+01,1.957992208914507160e+01,-7.691474766384798732e-03,2.321557413689146188e+02,2.442095805125144015e-02,nan,1.460107664254266228e-05,1.766834483535561162e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,1.093700311045233207e+02,3.499796988490476224e+01,-7.945686708481862134e-03,2.398161689688064087e+02,3.692106190734345539e-02,nan,2.302946223404277550e-05,2.362287977561954122e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,1.375892560091535302e+02,3.929106738918186892e+01,-9.387951952289370905e-03,2.832774178341693982e+02,2.557202626766774678e-02,nan,2.252530360369526304e-05,3.476186040229370722e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,4.941818055016694444e+01,4.893620130765109622e+01,-1.880005405991582498e-03,5.703281080539404257e+01,2.561077944521112926e-01,nan,1.338814029944172297e-05,8.424668131264494875e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,1.486125304019946114e+01,5.323251341231517841e+01,-8.992695423861130424e-03,2.713667499307196636e+02,1.443678095801115280e-02,nan,1.172217721083095573e-05,2.666385252020036845e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.366836830689695717e+02,1.765648179750649405e+01,-8.300651089413762021e-03,2.505126725171369344e+02,2.716974989817733110e-02,nan,2.003526527164755093e-05,2.165352987560044795e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,6.172051363105316568e+01,2.698061601566940837e+01,-6.856558377484766112e-03,2.069963546919120461e+02,2.867868560366582109e-02,nan,1.376472713439785145e-05,9.348981232293027688e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,5.127923265168439571e+01,4.071966199980493428e+01,-7.608075945868110132e-03,2.296425996918783312e+02,3.156519797982537678e-02,nan,1.878555119921091870e-05,8.424668131264494875e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,4.498566939249128893e+01,2.322984911688971010e+01,-6.586372177305434283e-03,1.988545584887526729e+02,1.581306321524970082e-01,nan,8.349718280371651736e-05,9.778530886175623493e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,7.990214779696462877e+00,2.746916998717527747e+01,-8.129666594924469733e-03,2.453602224397160967e+02,2.749129346984691136e-02,nan,1.832326251539436842e-05,1.766834483535561162e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,1.408320535694448665e+02,4.054331870950623085e+01,-7.879561049850446891e-03,2.378235370874618866e+02,7.240509193537547628e-02,nan,5.024593400747834462e-05,3.476186040229370722e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,9.735941415949554312e+01,4.636888456485572796e+00,-1.965163126880021486e-03,5.959895522039010274e+01,2.635618415948575155e-01,nan,1.506946862908435592e-05,1.880059389958618965e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,5.266092987167500894e+01,2.928873043843505997e+01,-7.733433589507977650e-03,2.334201293597394340e+02,2.480220796738707989e-02,nan,1.580130184226586281e-05,9.348981232293027688e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,6.888188507966415841e+01,1.034003937777385751e+01,-1.504621438017240574e-03,4.572098302458277175e+01,3.107959011655264669e-01,nan,1.167920056561658256e-05,1.811612629307534306e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,1.388704954592263050e+02,2.656110250942348472e+01,-1.790399853447998497e-03,5.433263534492595426e+01,3.266730072910078997e-01,nan,1.917129073260191304e-05,1.411913878696645597e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,8.985998550429930276e+01,4.678623504373580033e+01,-6.816182686884397941e-03,2.057796728472737016e+02,2.690913889422641425e-02,nan,1.215752973790769643e-05,1.752518011922146357e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,9.164521708230429553e+00,4.871425670026405186e+01,-8.034900849906748480e-03,2.425045496390225708e+02,2.396720194163637352e-02,nan,1.523528320875519819e-05,2.127751644833259448e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,8.828653698146116824e+01,2.110337656687087105e+01,-1.481670337218993433e-03,4.502937410742315905e+01,3.200325376687340739e-01,nan,1.179555980743766762e-05,8.716684110985399414e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,1.161494756475378125e+02,2.095442937105170245e+01,-1.501980454185155092e-02,4.529877731373501319e+02,9.240734839003783563e-03,nan,2.333768241356226029e-05,1.886639224165148221e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,6.933196387939008787e+01,2.196673294156448364e+01,-1.539766998318403343e-02,4.643743776845252569e+02,6.086890087808938254e-03,nan,1.541757432069673501e-05,1.565016288901773578e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,9.698748105286918531e+01,2.162697389014037697e+01,-6.411216267779639572e-03,1.935764069096138940e+02,3.421295309619520886e-02,nan,1.395825667567596396e-05,8.716684110985399414e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,4.155459370149615950e+01,8.529380124330430135e+00,-7.102287668953530253e-03,2.144011659330394934e+02,4.157629958821162930e-02,nan,2.124083493714278687e-05,6.033806421602492698e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,1.281340627115795030e+02,5.308344315484485776e+01,-6.825355014224246744e-03,2.060560719374572329e+02,3.965160734357708883e-02,nan,1.820122911298028060e-05,9.889846630437057584e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,1.275877448091548985e+02,4.320869743036882937e+01,-1.586660510903242609e-03,4.819315004010994841e+01,3.272953120575655683e-01,nan,1.435677686954911470e-05,9.889846630437057584e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
