frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections,good_flags,peak_labels,peak_features
6.000000000000000000e+00,8.877430487308598117e+01,3.279389771994146940e+01,-5.171976870962698668e-03,1.562331428601810899e+02,5.985860672705034524e-02,nan,1.707307809225815172e-05,9.942257229220668791e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,7.951526981497842428e+01,2.917191641066807151e+01,-8.397883337695534814e-03,2.534426709750883333e+02,2.578554465957316744e-02,nan,2.090417038855833982e-05,9.942257229220668791e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.273319843185906848e+02,1.911675787554766259e+01,-6.984736368242969173e-03,2.108588727546075745e+02,4.028373275239716111e-02,nan,2.018272749603841772e-05,4.012796272537327269e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.167706828741558311e+01,1.657908921743004882e+01,-1.348827608558401297e-03,4.102628874218888200e+01,3.430447521889400386e-01,nan,1.180466004853090982e-05,3.454497539305168630e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,9.779926978943819904e+01,4.628424147319675086e+01,-7.673235389741617056e-03,2.316061156389443738e+02,2.228985627340429598e-02,nan,1.299561972694111069e-05,2.504269003345471489e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,5.593176492815959477e+01,4.537688555100211829e+01,-8.257462785250007514e-03,2.492112353207591866e+02,2.071960883079571047e-02,nan,1.417639099924350374e-05,2.861437973442350113e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,5.621868346623977430e+01,1.609727416518584775e+01,-1.877099946798151510e-03,5.694525764163582693e+01,2.271616173496451285e-01,nan,1.102855847561939961e-05,2.928101714681229950e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.468911262908997806e+01,4.031374459173064650e+01,-8.105898842914299393e-03,2.446440045390772013e+02,2.357338105931983119e-02,nan,1.537350365269224485e-05,4.155227749516751601e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,5.476082306035942082e+01,1.162707682863069536e+01,-3.625292897408043287e-03,1.096253379648292707e+02,1.535143707239131627e-01,nan,2.442200539978935754e-05,7.172515039942508963e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,1.157986820772442087e+02,4.929506013614324900e+01,-8.485542216951949893e-03,2.560841853449169321e+02,1.510495621349572382e-02,nan,1.115117997659316220e-05,7.172515039942508963e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,7.001185479885151608e+01,1.265186749769526031e+01,-8.170229590219726598e-03,2.465825485276676261e+02,2.060255359634699523e-02,nan,1.352290503253800419e-05,3.377594463626820698e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
