frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections,good_flags,peak_labels,peak_features
5.000000000000000000e+00,1.294908470661436297e+02,2.249701220887831710e+01,-1.476111017699936398e-02,4.451922721231077844e+02,2.647377766918757036e-02,nan,7.501347461980658595e-05,1.971582619343540088e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.926194156135652946e+01,2.588507932406004741e+01,-5.814389432010336894e-03,1.755916154502984341e+02,9.282307596256256232e-02,nan,3.394009155423629610e-05,6.438877906988005329e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,6.026352593807202140e+01,2.786727481782522275e+01,-7.543005303614927666e-03,2.276817596945636524e+02,3.393917630968479315e-02,nan,1.969976444768542598e-05,9.374174790950728919e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,5.468604015937646778e+01,5.140443494787803047e+01,-5.414788952736949469e-03,1.635500468477225127e+02,9.385337187893183497e-02,nan,2.948482357206715586e-05,2.418896968866798503e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,6.077406542705581671e+01,5.147269457166258277e+00,-2.005196072571924920e-03,6.080530878330074529e+01,2.477235473521087750e-01,nan,1.449852133649147782e-05,2.149769181668563434e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.356992203917316431e+02,4.120983944422361134e+01,-7.325461790114990053e-03,2.211262992341103200e+02,6.550317277849704301e-02,nan,3.572486436616829322e-05,1.826980969923390674e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.037388031395845047e+02,2.801041087814533270e+01,-7.367472099491510426e-03,2.223922387126931710e+02,4.431472035304517831e-02,nan,2.422367330359672633e-05,2.036177330486552606e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,3.220960399593877810e+01,2.016053262822020287e+01,-6.478688168394728525e-03,1.956096064730381556e+02,3.913974242917162005e-02,nan,1.648851936225979127e-05,6.438877906988005329e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.188417995712536595e+02,4.825351105266311436e+01,-6.579675740876004750e-03,1.986527679433449407e+02,5.671780478299603967e-02,nan,2.519814294095644981e-05,1.000860359287285739e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,4.034732273196169672e+01,2.903283663047152174e+01,-1.682826399539400159e-03,5.109101479579190652e+01,3.210168240516818594e-01,nan,1.554092305507945765e-05,1.152363014668877739e+01,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
