frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,6.491972069007148072e+00,3.230057638846859902e+01,-1.057710067931928906e-02,3.291343669588554235e+02,3.068306040781643151e-02,nan,nan,2.914368911094777914e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.728920142270014253e+02,3.268092801315830798e+01,-7.801594894605916493e-03,2.421450339305877435e+02,5.090950885729050857e-02,nan,nan,1.815920640615123816e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.538489929475746578e+02,4.182240259442428254e+01,-1.123867979140279715e-02,3.498694437951377836e+02,1.889799890241705693e-02,nan,nan,1.319643366196353185e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.569621810115447147e+01,4.550599831277682483e+01,-1.575819820365470525e-02,4.915192628861722710e+02,1.085944140384131895e-02,nan,nan,1.324279726641645993e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.133963023803605097e+01,1.113614527586078538e+02,-9.590524814506010826e-03,2.982133085576904250e+02,6.412822522938299574e-02,nan,nan,1.493361894534956846e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.620260250624133391e+01,1.230520356566750024e+02,-8.578557678394726355e-03,2.664964421394358851e+02,1.173967734924207251e-01,nan,nan,4.952298212065972649e+00,1.000000000000000000e+00
5.000000000000000000e+00,8.797015258751997635e+01,1.560277830059537791e+02,-2.382309260954280222e-02,7.442875291876107440e+02,5.210436672365537092e-03,nan,nan,2.818581846605967556e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.428350486820299814e+01,1.585295410076419103e+02,-9.336885478603113367e-03,2.902637965150756827e+02,3.285550088264932445e-02,nan,nan,1.410759959137235597e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.797749929740565733e+02,4.948513525029958515e+01,-9.065458195723229487e-03,2.817567782867442361e+02,2.879838959008806931e-02,nan,nan,1.637221375641406240e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.209906642097163854e+01,1.078376676784488808e+02,-1.720181977176652626e-03,5.154263761409258393e+01,3.470961282597785358e-01,nan,nan,1.581556251333350538e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.346130814950560648e+02,1.141878083691271257e+02,-1.656165211767169840e-02,5.167009506651104402e+02,1.163417403253919069e-02,nan,nan,1.168360666387429525e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.639142326893728239e+02,1.136830447157609996e+02,-1.460193033623230149e-02,4.552797525442834399e+02,1.008152023593700264e-02,nan,nan,1.591787641105901585e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.367789566536128376e+01,1.168359409239658788e+02,-9.621674968681813780e-03,2.991896103007475745e+02,7.534509133318556540e-02,nan,nan,6.709245736921597647e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.948829064218112990e+02,1.478424112524966461e+02,-1.636386617256473455e-02,5.105019841408893058e+02,8.716434553133867169e-03,nan,nan,2.422431011010498736e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.922564854071554663e+01,7.770321738076444262e+01,-2.051717414521203597e-03,6.193355329104038987e+01,3.171929558287113204e-01,nan,nan,1.812173465254394245e+01,1.000000000000000000e+00
7.000000000000000000e+00,8.773471045390971312e+01,7.161612598564110499e+01,-1.655783337602560398e-02,5.165812644476900459e+02,1.113600410780046790e-02,nan,nan,8.066809920824310254e+00,1.000000000000000000e+00
7.000000000000000000e+00,4.373829236849321944e+01,1.196852831376863975e+02,-6.892245238237052450e-03,2.136443835148362496e+02,5.820358864650765351e-02,nan,nan,1.033994510381947052e+01,1.000000000000000000e+00
8.000000000000000000e+00,8.728458815064449539e+00,1.455616641737882162e+02,-1.644891520665807058e-02,5.131675735232735178e+02,8.564381903767737114e-03,nan,nan,1.410759959137235597e+01,1.000000000000000000e+00
8.000000000000000000e+00,2.021707908443481188e+02,5.064109014799538500e+01,-9.670796014663978965e-03,3.007291520488404331e+02,5.580233763316744255e-02,nan,nan,1.004424431599179179e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.445524838265056644e+01,3.232147429417214823e+01,-7.908435395138193116e-03,2.454936069845145141e+02,4.696206206642672409e-02,nan,nan,1.324279726641645993e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.634609709790713907e+02,5.086429065592053433e+01,-8.083088734877364248e-03,2.509675561359621838e+02,4.165426579430642207e-02,nan,nan,1.319643366196353185e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.412500775591660442e+02,1.262111304241969947e+02,-1.978933905035399916e-03,5.965238746515813517e+01,3.257154910198823972e-01,nan,nan,1.122682455747821351e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.963502947113205721e+02,5.882697242449709307e+01,-1.577260913573316076e-02,4.919709273635892828e+02,1.200126708140480947e-02,nan,nan,1.004424431599179179e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.078674425810880422e+02,6.298399666146798381e+01,-7.497443101939058226e-03,2.326123708285455223e+02,4.422045368483173977e-02,nan,nan,1.767200617092557735e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.975661564369849543e+01,1.345171476225505103e+02,-3.218405988641326321e-02,1.006335250684701009e+03,4.500689679031610879e-03,nan,nan,9.690607484698450236e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.756948095219061656e+02,7.360947638778647217e+01,-1.790182930227313812e-02,5.587045091048996710e+02,6.987071621857521286e-03,nan,nan,9.855557164120464009e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.202865322425411279e+02,1.893749227054598805e+01,-1.734715243976054852e-02,5.413199406482478935e+02,8.446930900330107406e-03,nan,nan,1.635488705730086423e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.682873213820820411e+02,9.167396352818508376e+01,-7.790320397946449114e-03,2.417916709687671641e+02,3.851523039276127935e-02,nan,nan,9.722746142136314162e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.249349422682409454e+02,1.076425592690156350e+02,-1.632081683961943835e-02,5.091527407774460698e+02,9.175314943964840708e-03,nan,nan,1.168360666387429525e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.049654728493156597e+01,1.205847910764214106e+02,-9.488102832515851390e-03,2.950032198056407537e+02,3.851561488093280250e-02,nan,nan,4.952298212065972649e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.477416630110209894e+02,1.353708743052048646e+02,-1.628006955194345393e-02,5.078756476446673673e+02,8.962263293166849998e-03,nan,nan,1.122682455747821351e+01,1.000000000000000000e+00
1.000000000000000000e+01,4.777653909740067206e+01,5.302410202293005170e+01,-8.570853923701216015e-03,2.662549926399274227e+02,3.220165888675574628e-02,nan,nan,1.224993836000094127e+01,1.000000000000000000e+00
1.000000000000000000e+01,2.200009316707200639e+02,1.380568332833751413e+02,-1.542386230616764504e-02,4.810405757618324287e+02,1.150417884946997038e-02,nan,nan,1.477922855675365810e+01,1.000000000000000000e+00
1.100000000000000000e+01,4.431508519521512568e+01,2.630908218137164312e+01,-1.651279635936854853e-02,5.151697235090409777e+02,2.646930828776694611e-02,nan,nan,1.002004064863805333e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.145983083187124407e+02,6.158212300763470637e+01,-1.552527691205096531e-02,4.842190915385616563e+02,1.024230856683117086e-02,nan,nan,1.655745725077790809e+01,1.000000000000000000e+00
1.100000000000000000e+01,7.629695185089722997e+01,9.258939644757229814e+01,-1.591005356049826625e-02,4.962786823337361852e+02,1.903371445587687116e-02,nan,nan,7.573342819370500578e+00,1.000000000000000000e+00
1.100000000000000000e+01,8.982888967177706263e+01,7.940636575744287029e+01,-8.146131131719861612e-03,2.529434180073502887e+02,4.423764304420840787e-02,nan,nan,8.066809920824310254e+00,1.000000000000000000e+00
1.100000000000000000e+01,6.449877847465390346e+01,1.426573577995856681e+02,-6.465706663104931959e-03,2.002758989791779811e+02,1.197235781388175102e-01,nan,nan,9.690607484698450236e+00,1.000000000000000000e+00
1.200000000000000000e+01,1.483641990592927584e+01,1.016576726265361685e+02,-2.494205441883151284e-02,7.793578007072142100e+02,5.600250119349503564e-03,nan,nan,1.439749330580145781e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.694924938072134424e+01,1.239269429854195863e+02,-8.408468699357978318e-03,2.611655482449402825e+02,4.231780140676955071e-02,nan,nan,2.038590921291134705e+01,1.000000000000000000e+00
1.300000000000000000e+01,7.560993523090779433e+01,1.001315134994065517e+02,-8.873965856448519027e-03,2.757550646656537197e+02,7.913020557773131625e-02,nan,nan,7.573342819370500578e+00,1.000000000000000000e+00
1.300000000000000000e+01,6.593689508676196454e+01,1.046875446295069167e+02,-1.611202680890022609e-02,5.026088864589830223e+02,1.071442150339441124e-02,nan,nan,1.069229279849277248e+01,1.000000000000000000e+00
1.300000000000000000e+01,9.800812012206730373e+00,2.042476894284325795e+01,-2.537894259394370741e-03,7.717120824468405260e+01,2.345040513821345929e-01,nan,nan,2.610533105822212718e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.570979513928295432e+02,8.238096129713359517e+01,-8.765731005642984908e-03,2.723627901714538098e+02,3.036014246524332272e-02,nan,nan,1.454516728067135034e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.489614334476662236e+02,1.086361810020644327e+02,-7.036203857864496876e-03,2.181563050442502742e+02,5.292638363488688658e-02,nan,nan,1.267165292574148516e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.063391115319364673e+02,1.146004245893784486e+02,-6.781354993735408919e-03,2.101688842160532431e+02,6.193514449682813172e-02,nan,nan,9.516998081147868049e+00,1.000000000000000000e+00
1.400000000000000000e+01,4.912058311307330882e+01,6.520008393437181837e+01,-8.098146775500291231e-03,2.514395021566534183e+02,4.433549850784190838e-02,nan,nan,1.224993836000094127e+01,1.000000000000000000e+00
1.400000000000000000e+01,2.049657667229098479e+02,1.454537861539992036e+02,-1.743249329112017470e-03,5.226560982717083448e+01,3.555404497830376709e-01,nan,nan,1.331882877913776753e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.943695916537035657e+02,8.674559693671051619e+00,-9.220061467651202367e-03,2.866023223252666412e+02,2.733500004389788351e-02,nan,nan,4.956386058063092293e+01,1.000000000000000000e+00
1.500000000000000000e+01,3.590241561921195057e+01,2.086590248515092583e+01,-3.908736757414987134e-02,1.222697304315634256e+03,2.825098339863441055e-03,nan,nan,1.002004064863805333e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.893214308874719620e+01,8.059844563268617890e+01,-1.177019551050560373e-02,3.665281004455572997e+02,5.464566705785589562e-02,nan,nan,7.751660708536264544e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.212206012549610961e+02,1.558166464278588421e+02,-7.952638484237590719e-03,2.468790111366959934e+02,3.567560834348426635e-02,nan,nan,2.195731719269516447e+01,1.000000000000000000e+00
1.500000000000000000e+01,9.820699090120035635e+01,3.199358813695974035e+01,-1.918137814288586093e-03,5.774692885868741854e+01,3.290511936933174786e-01,nan,nan,1.568269653778077455e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.778882479224337771e+02,1.124828294045492783e+02,-2.427254726825035097e-02,7.583742449144363036e+02,5.278047142409203474e-03,nan,nan,1.922941208359186760e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.606994197657924701e+02,1.038622449880468821e+02,-7.755949335585700551e-03,2.407144201820089222e+02,4.743358841026901196e-02,nan,nan,1.267165292574148516e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.048372294340401538e+02,1.239981691400986250e+02,-1.604162307997172160e-02,5.004023072272175341e+02,9.378893326399295738e-03,nan,nan,9.516998081147868049e+00,1.000000000000000000e+00
1.700000000000000000e+01,1.474606597504923116e+02,2.467857117067610062e+01,-9.347692937565288754e-03,2.906025216771805617e+02,3.164693317094757763e-02,nan,nan,1.835626796527454019e+01,1.000000000000000000e+00
1.700000000000000000e+01,3.012943316532439297e+01,1.394790505545290102e+02,-1.643162931062012652e-02,5.126258025151139464e+02,1.025652341998128936e-02,nan,nan,1.552184164062520111e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.413154912596966710e+02,1.469668343395597390e+02,-9.637410832293542146e-03,2.996828005105274428e+02,2.676667784959174679e-02,nan,nan,2.195731719269516447e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.341543575535524191e+01,8.604401116235932534e+01,-9.655976480150129868e-03,3.002646812377005858e+02,9.694990063338282393e-02,nan,nan,7.751660708536264544e+00,1.000000000000000000e+00
