frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.336436688518694211e+02,2.757923292559365791e+01,-8.502464603702511101e-03,2.539203436270442751e+02,1.856788610979598353e-02,nan,1.353182686110474887e-05,2.245321062897864550e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.814687388486935049e+01,4.958324493819506529e+01,-1.471736900528551216e-03,4.191889188527073173e+01,3.466762788162786046e-01,nan,1.418071671437135014e-05,1.468905141395187108e+01,1.000000000000000000e+00
6.000000000000000000e+00,8.296664652698390796e+01,1.293827053842042041e+01,-7.333900560831646716e-03,2.186839806215447766e+02,2.378079510756225812e-02,nan,1.229811611566050121e-05,1.144419595610449214e+01,1.000000000000000000e+00
6.000000000000000000e+00,4.379147378347001762e+01,4.192330246446032049e+01,-1.667961259014311484e-02,5.004904452468416594e+02,4.839362795520107952e-03,nan,1.559835221786744328e-05,2.016567821428476392e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.112179220999024238e+02,2.868943568451713944e+01,-7.824454054718498613e-03,2.334759135837703923e+02,2.599328511519427565e-02,nan,1.533296278277035304e-05,1.739951979280150240e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.755122506718718611e+01,3.490627543057138382e+01,-7.709368801389868825e-03,2.300056837854061484e+02,2.966128779992338593e-02,nan,1.757826428264412931e-05,1.015799048640791469e+01,1.000000000000000000e+00
7.000000000000000000e+00,9.986032107404602698e+01,4.187079327611433399e+01,-1.446638799469403529e-03,4.116209485299496862e+01,3.550892326979609992e-01,nan,1.438769392158531479e-05,5.831697081121936854e+00,1.000000000000000000e+00
1.000000000000000000e+01,8.260287219247322810e+01,2.437668342287557621e+01,-9.005858484149311186e-03,2.690994599231381130e+02,2.855201759118142224e-02,nan,2.380837842018515446e-05,1.144419595610449214e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.432071896167539649e+02,4.607879763445580323e+01,-8.964709523245073530e-03,2.678586723663357247e+02,1.879658885630541842e-02,nan,1.490168756446167295e-05,2.198897304434529332e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.510722269753712510e+01,5.510439238658038974e+00,-6.786367133679138686e-03,2.021738999678624964e+02,2.582136590674988241e-02,nan,1.149968909588269232e-05,1.923674126126061523e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.061404718534903395e+02,3.092908087331195333e+01,-7.714331214254148764e-03,2.301553181868201818e+02,2.369470178159871487e-02,nan,1.451042602066769401e-05,1.714687821579136440e+01,1.000000000000000000e+00
1.500000000000000000e+01,9.617987530921722339e+01,1.697193399332982366e+01,-1.470087444519244243e-03,4.186915491872608897e+01,3.386218616152990579e-01,nan,1.288294559043260803e-05,1.272742425415449219e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.238365825341879116e+02,3.567233249023964703e+01,-9.030427972399866082e-03,2.698403173987189803e+02,1.549727250775490006e-02,nan,1.230416551311798281e-05,1.832077425015072691e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.547963596964318533e+01,1.072849993411312752e+01,-9.002628527075774018e-03,2.690020652269469110e+02,1.731534333788664615e-02,nan,1.454928846987914245e-05,2.139184340118835692e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.293224309394739890e+01,3.724931359504320483e+01,-9.172796701924659443e-03,2.741332410641118145e+02,1.676415274407683231e-02,nan,1.371858228333875858e-05,2.785728457092964305e+01,1.000000000000000000e+00
