frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.254183899560141811e+02,1.951488900317452391e+01,-6.413254381165583648e-03,1.909232231480884252e+02,3.657164765273568374e-02,nan,1.564093297872312010e-05,1.592520326755333748e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.434452727953368623e+01,3.863281236743974745e+01,-1.756772931046453323e-02,5.272703237989984473e+02,4.616515435814094737e-03,nan,1.946542930838103441e-05,3.020261734917740526e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.691870320817008633e+01,4.737542022486658055e+01,-1.508609529967368766e-03,4.303073283553778339e+01,2.969130049844371788e-01,nan,1.091943876921617248e-05,3.233382813740045947e+01,1.000000000000000000e+00
6.000000000000000000e+00,2.262004124275130224e+01,5.438299264920041232e+00,-7.204758784878275563e-03,2.147898966606105660e+02,2.539729916051003400e-02,nan,1.277138073367213220e-05,1.500525461152259865e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.209883007935385990e+01,2.665223659183336835e+01,-1.648663889542578351e-02,4.946716018560530301e+02,2.582933060623415766e-02,nan,7.228881695651399051e-05,6.031806051279993142e+00,1.000000000000000000e+00
7.000000000000000000e+00,4.705982588877240147e+01,1.123720549300230864e+01,-8.879883751811031706e-03,2.653008735938111613e+02,1.629860071580613301e-02,nan,1.228024131764870910e-05,2.511832771077684612e+01,1.000000000000000000e+00
7.000000000000000000e+00,8.676113554250713733e+00,1.098127198490404410e+01,-9.827618100627969269e-03,2.938784357320847676e+02,1.404362970659445153e-02,nan,1.293369134399643260e-05,1.500525461152259865e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.626443430527173462e+01,2.818276270779172776e+01,-1.755118708490727153e-02,5.267715168502389815e+02,1.740937260000541276e-02,nan,6.069941578070479020e-05,6.031806051279993142e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.218882358969726454e+02,3.482757756469560917e+01,-9.385136283403707272e-03,2.805360348340193468e+02,1.585374002227069035e-02,nan,1.604241506577013150e-05,1.813697931850600042e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.405985612867573877e+02,4.883039929353681252e+00,-7.971597712093440175e-03,2.379128183104317600e+02,4.798275371508620157e-02,nan,3.385263353198250387e-05,2.402346767951915041e+01,1.000000000000000000e+00
1.400000000000000000e+01,3.218673757855567175e+01,3.476564293392213756e+01,-9.107038614786715919e-03,2.721504008055262034e+02,1.571327953243151221e-02,nan,1.337362337487677697e-05,2.527171258605757487e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.261846231503451037e+02,5.244833451123377444e+01,-8.917834444757631249e-03,2.664452219939993256e+02,1.932192089129625145e-02,nan,1.612429243675801997e-05,1.813697931850600042e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.017548508131687441e+02,1.332317786303024221e+01,-1.695692603966644091e-02,5.088524322798373305e+02,6.522507171233260514e-03,nan,2.095209155831519174e-05,2.945831633786498216e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.289371233847921161e+01,1.713641175006085859e+01,-4.436105202470464956e-03,1.313051417929827664e+02,4.119024494895395794e-02,nan,7.997204016601435340e-06,1.171171926458989532e+01,1.000000000000000000e+00
1.800000000000000000e+01,6.423380881494895789e+01,4.635050398803847571e+01,-9.213944753068682020e-03,2.753740011884071919e+02,1.656336318114104422e-02,nan,1.440781385116842307e-05,6.336722334590739081e+00,1.000000000000000000e+00
2.100000000000000000e+01,6.323463896159430675e+01,3.097241406227937333e+01,-9.301762906119986213e-03,2.780220309119524700e+02,1.179527575664918171e-02,nan,1.145258588022174631e-05,7.170667331630117047e+00,1.000000000000000000e+00
2.200000000000000000e+01,1.143253290661634907e+02,2.534142793426063633e+01,-8.831210915351854138e-03,2.638332144231854954e+02,1.651622477779779441e-02,nan,1.432926730781851362e-05,1.680909615553596836e+01,1.000000000000000000e+00
2.200000000000000000e+01,9.824398023132292224e+01,3.023386426171814989e+01,-8.903665673486493848e-03,2.660179831354211046e+02,1.366774258732650349e-02,nan,1.164680660291355896e-05,1.680909615553596836e+01,1.000000000000000000e+00
2.200000000000000000e+01,7.029269042212255236e+00,4.795976392081910689e+01,-9.218586261973384793e-03,2.755139591938388435e+02,1.547799465408150610e-02,nan,1.391027136005294709e-05,2.934741109435385198e+01,1.000000000000000000e+00
2.300000000000000000e+01,2.837514598540294486e+01,1.266443793080707003e+01,-8.892570740843564261e-03,2.656834314465232296e+02,9.959764984831975809e-03,nan,8.593016336539575768e-06,1.131068266344707318e+01,1.000000000000000000e+00
2.300000000000000000e+01,6.730492869624109176e+01,4.080773639229415295e+01,-8.517619362393646920e-03,2.543773135139403792e+02,4.255936989261321912e-02,nan,3.162573936109315862e-05,6.336722334590739081e+00,1.000000000000000000e+00
2.400000000000000000e+01,7.254163004498605005e+01,3.436750255253089392e+01,-9.010758021996641276e-03,2.692471984191161027e+02,3.208660471937996306e-02,nan,2.826433856285411210e-05,8.300581481244496018e+00,1.000000000000000000e+00
2.400000000000000000e+01,6.292320405902595581e+01,1.097535040440131660e+01,-1.557024267192688065e-03,4.449060939608649790e+01,2.594743458022514826e-01,nan,9.404957701026182989e-06,1.046995624299567318e+01,1.000000000000000000e+00
2.500000000000000000e+01,7.228489563342955648e+01,1.566349658343463780e+01,-8.301552787788326129e-03,2.478621376426687561e+02,1.712371212580166002e-02,nan,1.191593673800217919e-05,1.046995624299567318e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.207866393952887307e+01,2.736551819710027900e+01,-6.343766730995946748e-03,1.888279232963480183e+02,1.456184893811576231e-01,nan,7.671715817053751708e-05,4.626968346776023644e+00,1.000000000000000000e+00
2.600000000000000000e+01,2.813457710591728755e+01,2.397256195415529234e+01,-8.972938225366048487e-03,2.681067970085131833e+02,1.801189526924806827e-02,nan,1.403552078697638116e-05,3.296755477777260523e+00,1.000000000000000000e+00
2.600000000000000000e+01,1.298620754696695485e+02,5.004009913302692780e+01,-1.452191714156643356e-03,4.132953498505435874e+01,2.803331869523142394e-01,nan,9.359718959620294291e-06,1.368164701398495176e+01,1.000000000000000000e+00
2.600000000000000000e+01,4.591210384542536360e+01,1.987052245701757158e+01,-2.045860048849240231e-03,5.923074722388618341e+01,2.967365765321557936e-01,nan,2.035868780707869097e-05,9.705741833474029079e+00,1.000000000000000000e+00
2.700000000000000000e+01,1.432700292545011393e+02,4.731718886658340040e+01,-1.266655562166269042e-03,3.573495996620037829e+01,3.265826120791273102e-01,nan,9.090960202612800514e-06,1.368164701398495176e+01,1.000000000000000000e+00
