frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,1.126011277262101942e+02,5.090723809669393063e+01,-7.934691030437382442e-03,2.367999505646757257e+02,2.568988005876271519e-02,nan,1.643780790406615186e-05,3.771813090252108935e+01,1.000000000000000000e+00
7.000000000000000000e+00,2.408194381467927414e+01,4.141043247370749469e+01,-8.907371385570982125e-03,2.661297235376690651e+02,2.763253538478149807e-02,nan,2.227421883257230611e-05,5.304780536822212511e+00,1.000000000000000000e+00
7.000000000000000000e+00,5.445260957563500170e+01,1.917941415586744469e+01,-1.549430079958059132e-03,4.426161763498993906e+01,3.575428101353987920e-01,nan,1.582245717099672991e-05,1.027200110526461962e+01,1.000000000000000000e+00
7.000000000000000000e+00,1.367095185956753767e+02,2.044612037228349521e+01,-1.921187510888849219e-03,5.547142668754933226e+01,2.940262611410010551e-01,nan,1.859988999365915936e-05,3.041161068012127089e+01,1.000000000000000000e+00
9.000000000000000000e+00,4.037652437241422376e+01,3.100232308971907713e+01,-8.019389019384062095e-03,2.393538962406259714e+02,2.441109521610917987e-02,nan,1.585660659880734304e-05,1.478443221462366530e+01,1.000000000000000000e+00
9.000000000000000000e+00,7.421546396159057224e+01,3.301653527451695425e+01,-7.247920087060323070e-03,2.160913634657505895e+02,3.432062996886087181e-02,nan,1.839988011371988057e-05,1.538861718889865671e+01,1.000000000000000000e+00
9.000000000000000000e+00,3.199158015443881808e+01,4.317902816006724720e+01,-2.105244790087420874e-03,6.102140843070839793e+01,3.179649237610641110e-01,nan,2.623401376933287565e-05,8.104953900489199725e+00,1.000000000000000000e+00
1.100000000000000000e+01,1.104916386630755483e+02,5.035447577137745157e+00,-8.998949072885337533e-03,2.688911165936158909e+02,4.805969937751652932e-02,nan,3.985683899113545562e-05,1.477878423644787986e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.141753130484393353e+01,4.487550786257111923e+01,-9.664630901662181126e-03,2.889637918637874350e+02,1.833681455685531869e-02,nan,1.956349855566782441e-05,1.773045655993253433e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.078724268948107223e+01,3.725283207931345686e+01,-7.844772718909712866e-03,2.340885935918506959e+02,3.896786773532123771e-02,nan,2.424331293080996566e-05,5.304780536822212511e+00,1.000000000000000000e+00
1.200000000000000000e+01,7.056624495820081222e+01,1.049616136269141364e+01,-8.706015968553061646e-03,2.600581414019253543e+02,1.472558897514364418e-02,nan,1.292729836386313671e-05,1.778114952991807840e+01,1.000000000000000000e+00
1.200000000000000000e+01,4.506668582714602422e+01,1.500587344154486757e+01,-7.464278112482999883e-03,2.226153276159884626e+02,3.917862084300505199e-02,nan,2.307385717440947281e-05,1.027200110526461962e+01,1.000000000000000000e+00
1.200000000000000000e+01,8.663584196849578234e+01,4.845951384130228234e+01,-8.333934615176051899e-03,2.488385649352732401e+02,1.947134967998169763e-01,nan,1.766748502425917011e-04,5.696788949985908346e+00,1.000000000000000000e+00
1.300000000000000000e+01,9.946960607985440106e+01,2.545019263495219519e+01,-8.914069863845699992e-03,2.663317064871807816e+02,2.182891458369979887e-01,nan,2.385375300745182247e-04,5.850110816949169568e+00,1.000000000000000000e+00
1.400000000000000000e+01,9.230868835433467723e+01,4.793776847873914448e+01,-9.681598245399634234e-03,2.894754176380180866e+02,1.153960710915380439e-01,nan,1.236198544232786534e-04,5.696788949985908346e+00,1.000000000000000000e+00
1.500000000000000000e+01,9.680049891924413430e+01,3.065592635228394869e+01,-1.701473372130177589e-02,5.105955395293165680e+02,3.547732959039684442e-02,nan,1.018613784754262305e-04,5.850110816949169568e+00,1.000000000000000000e+00
1.500000000000000000e+01,1.117869216669980545e+02,1.975736000206508081e+01,-1.193753235282711154e-03,3.353669546397959067e+01,3.417936592773481719e-01,nan,8.851956325441829305e-06,1.356925225129802293e+01,1.000000000000000000e+00
1.700000000000000000e+01,6.866809151050868820e+01,2.817570581650357653e+01,-8.919770097527689526e-03,2.665035888110124915e+02,1.446234974450399946e-02,nan,1.149151780651238845e-05,1.627504078373584306e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.342019642859744266e+01,3.386592972099906262e+01,-8.122835265170161995e-03,2.424731685563478720e+02,1.732393118319586200e-02,nan,1.216527555350048123e-05,1.627504078373584306e+01,1.000000000000000000e+00
1.800000000000000000e+01,3.355279438097264233e+01,2.850442130490455028e+01,-7.906171715162760641e-03,2.359399917529909487e+02,2.055975835034806742e-02,nan,1.352695205851435206e-05,1.079093043437608479e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.347487903610418414e+02,3.611284486175803465e+01,-9.044692462880503034e-03,2.702704425319803363e+02,1.228538998264028237e-02,nan,1.082941274992115638e-05,9.998606255843352386e+00,1.000000000000000000e+00
2.000000000000000000e+01,4.453475597958862942e+00,4.650203052455131569e+01,-8.119250330826017353e-03,2.423650700326325307e+02,1.999608828207810607e-02,nan,1.466285945890595504e-05,1.956317558907523946e+01,1.000000000000000000e+00
2.100000000000000000e+01,9.155387314832701406e+01,2.418527700897753618e+01,-2.399286464337114025e-02,7.210110112101521054e+02,4.911131978800442610e-03,nan,3.328801447462701298e-05,2.323106806072067343e+01,1.000000000000000000e+00
2.300000000000000000e+01,7.117084440157734093e+01,4.507666223499575864e+01,-7.868424375525994580e-03,2.348017751785143332e+02,1.861946363385036385e-02,nan,1.208871672946757150e-05,9.761713172151173623e+00,1.000000000000000000e+00
2.300000000000000000e+01,2.356160797056416101e+01,5.069692222279369531e+01,-8.230745737098291506e-03,2.457270531715315940e+02,1.711529412573820075e-02,nan,1.162465090444965554e-05,1.956317558907523946e+01,1.000000000000000000e+00
2.400000000000000000e+01,8.941258134547052094e+00,1.658279575221677149e+01,-9.032876848840224251e-03,2.699141597351613768e+02,1.488405403273274086e-02,nan,1.232468335026309339e-05,1.765567275415146753e+01,1.000000000000000000e+00
2.500000000000000000e+01,6.287663778563186412e+01,3.992912100957988031e+01,-1.241778398010351262e-03,3.498482496752988169e+01,3.412492470107808540e-01,nan,1.033377944905275528e-05,9.761713172151173623e+00,1.000000000000000000e+00
2.600000000000000000e+01,2.349905411555706536e+01,6.593133266578172780e+00,-3.106721199764261518e-02,9.343277506074222174e+02,3.351526096493473439e-03,nan,4.197370615704536066e-05,1.765567275415146753e+01,1.000000000000000000e+00
2.900000000000000000e+01,6.054749643118421432e+01,2.409432867096763431e+01,-9.148658920413936524e-03,2.734054010825137198e+02,1.583625887413497857e-02,nan,1.299002443418608684e-05,1.600517253440185073e+01,1.000000000000000000e+00
3.000000000000000000e+01,2.568605481837556681e+01,2.998559011072925173e+01,-9.146457564525896713e-03,2.733390223712668217e+02,3.038232421241315873e-02,nan,2.616431628474192943e-05,1.114939526424132588e+01,1.000000000000000000e+00
3.000000000000000000e+01,8.011111043610934246e+01,4.782405574681481397e+01,-8.969076302646166246e-03,2.679903462998959753e+02,1.438272184274469456e-02,nan,1.186061842687886119e-05,1.472424495962341773e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.172879842346728729e+01,4.685397812780441740e+01,-1.330508313985095514e-03,3.766034758677161420e+01,3.379444038224225233e-01,nan,1.083759380316843322e-05,2.189400649419409106e+01,1.000000000000000000e+00
