frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,5.999700521709591783e+01,1.708431915421602909e+01,-6.683635157246781838e-03,1.990761654141363977e+02,1.482401659654781767e-01,nan,7.955173404158167986e-05,5.731671817186462903e+00,1.000000000000000000e+00
5.000000000000000000e+00,7.851077426572796014e+01,1.862413588366414174e+01,-6.712108789218572923e-03,1.999347467117246424e+02,3.181937747920748905e-02,nan,1.528742957527089107e-05,1.208800600581731111e+01,1.000000000000000000e+00
5.000000000000000000e+00,9.883460633128143513e+01,2.755808818751653888e+01,-7.113050199601960930e-03,2.120245565654471704e+02,1.851570538015256950e-02,nan,9.210375848940960852e-06,1.525073524323663321e+01,1.000000000000000000e+00
5.000000000000000000e+00,3.746353434143797756e+01,5.008156579509270756e+01,-1.773141667472335863e-03,5.100731784224912246e+01,2.529619297354995799e-01,nan,1.139017332257090637e-05,2.315028149058331053e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.428259880157072104e+01,1.752886514523838457e+01,-7.015183054559571627e-03,2.090735139845429558e+02,9.221392956552965092e-02,nan,5.094438984179539990e-05,5.731671817186462903e+00,1.000000000000000000e+00
6.000000000000000000e+00,9.005108294988636430e+01,4.392678796383069084e+01,-1.642366549956670446e-02,4.927727299459366463e+02,3.335997020361880505e-02,nan,8.976063477686771486e-05,3.558977110027980117e+00,1.000000000000000000e+00
6.000000000000000000e+00,5.413215732330203878e+01,3.401630697421722971e+01,-1.557621426962730064e-03,4.450861588752173503e+01,3.082196907409785469e-01,nan,1.176484999514251137e-05,1.648812817460929736e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.168958113066004927e+02,3.988153787129841277e+01,-1.492550918505986673e-02,4.475979874412352046e+02,8.026831328567185508e-03,nan,2.091325488150181733e-05,1.357479273273514941e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.812522064144070555e+01,2.480961606823585086e+01,-6.664582423547623681e-03,1.985016577138812011e+02,2.239513480142529822e-02,nan,9.586713015125167262e-06,1.121374595727585977e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.621556811376509444e+01,4.069474130735078177e+01,-6.536624022935774367e-03,1.946432567292973488e+02,2.683648219054346473e-02,nan,1.117216270657480712e-05,1.679794934820715113e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.622346063495627178e+01,1.332657413276622194e+01,-1.494841896051526823e-03,4.261558969524945439e+01,3.619161217952640008e-01,nan,1.351669096025135018e-05,1.462238900213739434e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.008052770077389368e+02,5.233589561331960738e+01,-7.808053534789258579e-03,2.329813795638069678e+02,4.085035631417455182e-02,nan,2.658827559469961895e-05,1.144328010585598321e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.137804717705442386e+02,9.000029547677160124e+00,-1.583339664044535085e-03,4.528411222698605343e+01,2.759671551301781101e-01,nan,1.055093103652273325e-05,9.710355475406828418e+00,1.000000000000000000e+00
1.300000000000000000e+01,1.064857221808768060e+02,3.116918789375455390e+01,-1.434108743770839750e-03,4.078426909858528404e+01,3.406629123896370848e-01,nan,1.272893561067378550e-05,1.357479273273514941e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.412960876369364769e+02,4.449460886357766043e+01,-6.993962787886932181e-03,2.084336474542382405e+02,3.527814973390563935e-02,nan,1.949097903146340419e-05,1.250123742198777244e+01,1.000000000000000000e+00
1.400000000000000000e+01,3.068076241116377645e+01,1.113552746929783410e+01,-1.394083723408468933e-03,3.957737234748709909e+01,3.402318956462845323e-01,nan,1.179334251987273192e-05,1.050084761874152228e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.208324512380272040e+02,4.279225145901535399e+01,-7.028909035175293085e-03,2.094874011296529375e+02,3.901720115925744192e-02,nan,2.017522156794540012e-05,1.051944572512071652e+01,1.000000000000000000e+00
1.500000000000000000e+01,3.257489643545816449e+01,3.688114993333283564e+01,-1.426923360704505581e-02,4.278089440938443317e+02,1.485809629366952045e-02,nan,2.978308336340608224e-05,1.123040558620162699e+01,1.000000000000000000e+00
1.600000000000000000e+01,4.236625250750113025e+01,4.238127319568396700e+01,-1.385341286613420674e-02,4.152704694921835653e+02,1.760861131092772425e-02,nan,3.584088979656931373e-05,7.900040707748839708e+00,1.000000000000000000e+00
1.600000000000000000e+01,9.411387785621420221e+01,4.305290918781766152e+01,-2.195701180360494498e-02,6.596228056381737588e+02,3.213574731659041284e-02,nan,1.520466154770722491e-04,1.144328010585598321e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.231951944622769730e+02,1.137784369023248487e+01,-1.765923682245820574e-03,5.078966991001856712e+01,2.863016802310601738e-01,nan,1.415506344254007960e-05,9.710355475406828418e+00,1.000000000000000000e+00
1.800000000000000000e+01,5.137753821083479977e+01,1.786120718659148920e+01,-1.270716634337152543e-03,3.585741573923034764e+01,2.922142787834006716e-01,nan,7.852034763099412400e-06,8.845549319731102145e+00,1.000000000000000000e+00
1.800000000000000000e+01,7.409109638140456866e+01,2.082043140917367907e+01,-1.606195997548236004e-03,4.597331199247992117e+01,3.300153680770556708e-01,nan,1.467142008698219406e-05,1.269810137424032881e+01,1.000000000000000000e+00
1.800000000000000000e+01,4.042524179657495154e+01,1.504870037875712896e+01,-1.633933021640032171e-03,4.680968194203759225e+01,3.167188778171354802e-01,nan,1.402657767725071319e-05,9.476476356879430796e+00,1.000000000000000000e+00
1.900000000000000000e+01,1.437885562234544352e+02,3.007825318883833177e+01,-6.924703411857722340e-03,2.063452308799064951e+02,3.531880200049009044e-02,nan,1.657915695921625244e-05,1.463023275943919010e+01,1.000000000000000000e+00
1.900000000000000000e+01,7.094912082568927758e+01,3.984626544455580444e+01,-1.363079050918067402e-03,3.864247117420228506e+01,3.084707998665431328e-01,nan,9.931270439871479292e-06,1.392997887296932014e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.426150471802199036e+02,5.811758525424784771e+00,-1.700397553400380618e-03,4.881382401913297286e+01,2.373977800974725882e-01,nan,9.544524092135540087e-06,5.207640858451886956e+00,1.000000000000000000e+00
2.000000000000000000e+01,6.329175067713723735e+01,1.414091714014132251e+01,-1.335952989171888773e-03,3.782452391283548110e+01,3.543417678963296513e-01,nan,1.280922697026389344e-05,1.248154704841962293e+01,1.000000000000000000e+00
2.000000000000000000e+01,3.744457633267219165e+01,5.110093440788662633e+01,-1.540860391198698017e-03,4.400321103262080413e+01,3.486856904585784456e-01,nan,1.744242341390493038e-05,6.682427379109840082e+00,1.000000000000000000e+00
2.100000000000000000e+01,1.109321030267686297e+02,7.548553131170086417e+00,-1.393498528354663582e-03,3.955972663481032470e+01,2.992673852927729694e-01,nan,9.415436909557432853e-06,1.284705716268758913e+01,1.000000000000000000e+00
2.100000000000000000e+01,8.836701587153865489e+01,1.440313022100209217e+01,-1.403379764586870334e-03,3.985768105925568250e+01,3.309885697944546790e-01,nan,1.145523984808611927e-05,8.069106518136655026e+00,1.000000000000000000e+00
2.200000000000000000e+01,1.344557049298823301e+02,4.235214087290537321e+01,-6.756266719462279170e-03,2.012662653983822736e+02,3.341660132368446945e-01,nan,1.993897537685292674e-04,3.543955157411866619e+00,1.000000000000000000e+00
2.200000000000000000e+01,1.919662539101426901e+01,1.607496084207332032e+01,-1.440206189237338121e-03,4.096812877078257031e+01,3.294193241246213821e-01,nan,1.190002541436520383e-05,1.150521898766052331e+01,1.000000000000000000e+00
2.200000000000000000e+01,3.491965252527305097e+01,7.335588755150203255e+00,-1.527414839235565315e-03,4.359777980899842476e+01,3.524216554988079952e-01,nan,1.491133194928713615e-05,9.476476356879430796e+00,1.000000000000000000e+00
2.300000000000000000e+01,5.067805275684809097e+00,4.328733986836441261e+01,-1.156081068263678123e-03,3.240074561135080700e+01,3.426779516253131153e-01,nan,8.172312161801169553e-06,2.923742011070227065e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.408264109273819429e+02,1.070259727411107598e+01,-1.426044740926759279e-02,4.275440089743585759e+02,1.210902118130119387e-02,nan,2.587128757406659033e-05,5.207640858451886956e+00,1.000000000000000000e+00
2.400000000000000000e+01,8.819070450987447884e+01,4.539910483102434569e+01,-1.537757582625375301e-03,4.390965031603604984e+01,3.105915494153747014e-01,nan,1.220276819351068760e-05,1.238018934671665505e+01,1.000000000000000000e+00
