frame_indices,x_coords,y_coords,contrasts,calibrated_values,fit_errors,diffblur_errors,residual_errors,neareast_neighbour_distances,selections
5.000000000000000000e+00,9.167568478151373768e+01,4.278849825547585084e+01,-6.758818846047465363e-03,2.013432210939988352e+02,2.333330075290862560e-02,nan,1.079142550748778427e-05,1.569354687221352940e+01,1.000000000000000000e+00
7.000000000000000000e+00,7.598214669458323556e+01,4.280510380950880034e+01,-1.448755586389510004e-03,4.122592350900848146e+01,2.626368873816610217e-01,nan,8.279486065194378654e-06,1.569354687221352940e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.166816876889957086e+02,5.170323757468216286e+01,-1.398436926534830493e-03,3.970863690806719859e+01,2.623988335024558527e-01,nan,7.999169211587595031e-06,1.271255470672645416e+01,1.000000000000000000e+00
1.000000000000000000e+01,1.422346106220851709e+02,1.750162002458044341e+01,-9.072161033853649512e-03,2.710987176650010611e+02,1.669276039245470855e-02,nan,1.353195728467788115e-05,4.269312021236952148e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.074922919675223483e+02,4.291893034840187937e+01,-9.011116662223169968e-03,2.692580126977921395e+02,1.509562220590032755e-02,nan,1.267521406296777048e-05,1.271255470672645416e+01,1.000000000000000000e+00
1.200000000000000000e+01,3.845633249150112931e+01,2.478732521854352555e+01,-8.986220156647491478e-03,2.685072944865096360e+02,1.144836566881501927e-02,nan,1.017459194851514254e-05,2.115716096326771378e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.875748673486728535e+01,7.337006516085882168e+00,-8.735111607232615150e-03,2.609354784145129429e+02,1.423621755601900407e-02,nan,1.053451143957410473e-05,1.833907654809352650e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.029476875549751895e+02,2.361564095488631665e+01,-8.955858411133972921e-03,2.675917798487610639e+02,1.336792905046979563e-02,nan,1.185610033075171041e-05,1.782277644623884783e+01,1.000000000000000000e+00
2.000000000000000000e+01,4.794941225815014718e+01,4.836279847209887350e+01,-2.487044659663742094e-02,7.474732290586463250e+02,2.605633820622843544e-03,nan,2.628847708357935777e-05,9.104055761857269502e+00,1.000000000000000000e+00
2.100000000000000000e+01,8.947221954416389167e+01,3.528025077014407174e+01,-8.959621502234968102e-03,2.677052504324798861e+02,1.139280484712268393e-02,nan,9.678503486763062233e-06,8.435404001573106214e+00,1.000000000000000000e+00
2.200000000000000000e+01,2.539892341893465755e+01,1.881837051439707409e+01,-7.939733255608467585e-03,2.369519915910686052e+02,1.824873370558577346e-02,nan,1.166302230958219741e-05,1.441216143784080828e+01,1.000000000000000000e+00
2.300000000000000000e+01,7.051175262331315707e+01,3.638569211223228450e+01,-7.197223307327186258e-03,2.145626752053297253e+02,1.886929889428723417e-02,nan,1.014842687113164656e-05,1.278975534317184959e+01,1.000000000000000000e+00
2.300000000000000000e+01,8.267162132932752172e+01,5.268639181771091984e+01,-2.519382236786841135e-03,7.350912572365275821e+01,1.254752830632249738e-01,nan,9.134369720433101086e-06,1.868747929088958770e+01,1.000000000000000000e+00
2.400000000000000000e+01,6.807468147427701410e+01,1.436583682846775467e+01,-8.992630723005675883e-03,2.687005958675044326e+02,1.291776880861783550e-02,nan,1.055166515690985181e-05,2.185871299829052106e+01,1.000000000000000000e+00
2.500000000000000000e+01,8.215254278480259131e+01,3.108759375958124238e+01,-1.136351906254242511e-03,3.180584119117808228e+01,3.544417010687157532e-01,nan,8.582814288271399059e-06,8.435404001573106214e+00,1.000000000000000000e+00
2.500000000000000000e+01,4.002951222643014972e+01,4.387291931976435677e+01,-1.122397653065459588e-03,3.138507081592108960e+01,3.341049542989419363e-01,nan,7.377214993425311265e-06,9.104055761857269502e+00,1.000000000000000000e+00
2.600000000000000000e+01,3.700576982613819155e+01,2.736187762740236806e+01,-5.884244421462182274e-03,1.749716909343819111e+02,2.321466019953433157e-02,nan,7.960956898048090105e-06,1.441216143784080828e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.338190524229352718e+01,1.745559585282483184e+01,-8.619184985970178986e-03,2.574398783798166050e+02,2.158653764031609468e-01,nan,1.245197785214831386e-04,6.142438782217554127e+00,1.000000000000000000e+00
3.100000000000000000e+01,9.209258040981227111e+01,1.116428356799470833e+01,-8.840788038280535457e-03,2.641219987496604631e+02,1.456959418428849240e-02,nan,1.153920320540478441e-05,1.543539668998019465e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.406981714588526131e+02,3.991055235604174101e+01,-2.329974055859945770e-02,7.001108542971701354e+02,3.310273047100409372e-03,nan,2.206824690137147189e-05,2.854817123753050012e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.686068196177473055e+01,1.239321827610400106e+01,-9.299070741487369327e-03,2.779408525710269942e+02,1.523444856531760427e-01,nan,1.579918370390263470e-04,6.142438782217554127e+00,1.000000000000000000e+00
3.200000000000000000e+01,1.232292955502870342e+02,1.733099400122663170e+01,-8.892063649476302997e-03,2.656681408378460105e+02,1.598300974360511439e-02,nan,1.416093585029110113e-05,2.854817123753050012e+01,1.000000000000000000e+00
3.300000000000000000e+01,7.765057463378798275e+01,3.680305363610691671e+01,-9.046266501807486912e-03,2.703179054052001220e+02,1.280980360814842900e-02,nan,1.054691585167276670e-05,1.404033224459144868e+01,1.000000000000000000e+00
3.400000000000000000e+01,4.266003263782101840e+01,3.722895414710583140e+01,-8.933947351580803775e-03,2.669310834556443410e+02,1.314459155647085264e-02,nan,1.195886671183816453e-05,1.691504781385494738e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.043507725191327751e+01,3.076410978727016143e+01,-8.981365746636224903e-03,2.683609167553291286e+02,1.258009419815797614e-02,nan,1.131733611305970065e-05,2.634911293864903925e+01,1.000000000000000000e+00
3.500000000000000000e+01,8.526977212477133605e+01,2.500988785537156289e+01,-1.336474999474731966e-03,3.784026438049389895e+01,2.624109827895984015e-01,nan,6.937856953426154253e-06,1.404033224459144868e+01,1.000000000000000000e+00
3.900000000000000000e+01,3.893291686606187341e+01,1.690002510293583882e+01,-1.688013407107597300e-02,5.065368812429313721e+02,4.455803817801196054e-03,nan,1.520039222182349626e-05,2.066777075688120746e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.098327807387507136e+02,2.443271872257029642e+01,-8.850361045230764612e-03,2.644106589647425949e+02,1.125874281309813263e-02,nan,1.044174292425569275e-05,2.456978869217811834e+01,1.000000000000000000e+00
4.000000000000000000e+01,3.167258218999015895e+01,4.636039577653190946e+01,-1.699934313550546458e-02,5.101314586162553155e+02,3.860382895805702930e-03,nan,1.427067046144979896e-05,3.763664368397928506e+00,1.000000000000000000e+00
4.100000000000000000e+01,1.378230585694215620e+02,3.247588093815868149e+01,-1.475993587424916098e-02,4.426053631008393836e+02,6.811082038306159880e-03,nan,1.794865617136356362e-05,9.537739641409315183e+00,1.000000000000000000e+00
4.200000000000000000e+01,7.504285182934949283e+00,4.198525005697305090e+01,-9.121691681081994102e-03,2.725922428819395691e+02,1.583894110824402013e-02,nan,1.576791687054068214e-05,2.456111724430727250e+01,1.000000000000000000e+00
4.200000000000000000e+01,7.141050666063009089e+01,3.266306950920709085e+01,-7.669515394790029673e-03,2.288039617997563653e+02,3.955083364980005456e-02,nan,2.334463406972501774e-05,6.172528676009888748e+00,1.000000000000000000e+00
